% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=897764, Sat Jul 28 19:48:44 2018
1 14 -0.02240135997702178 -4.751404345801397e-05 6.117194724922334e-05 0.01654667644367398 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 28 -0.027229887962866517 -2.5130091883673337e-05 2.462258274913072e-05 0.021968597994294195 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3 42 -0.039838211860809485 -5.836543179780032e-06 4.990029508401407e-07 0.028345313881421048 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4 56 -0.05055432020376859 -0.00011625431425201707 5.4768155093158546e-05 0.046882564452919426 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
5 70 -0.05570059759763519 -6.065170761801746e-06 1.9238509730193596e-06 0.05250398643160307 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
6 84 -0.06078572409383911 -3.504442289586253e-05 4.907208200711367e-06 0.06313293838261637 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 98 -0.07092041908496523 -8.405389105298048e-05 6.847386242005909e-05 0.07815249824078574 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
8 112 -0.07841424548529409 -5.187345022358934e-06 2.636415466559038e-05 0.09280578716676757 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
9 126 -0.08818227269305987 -7.123407264066093e-05 4.2415133071179286e-05 0.09737976645971 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
10 140 -0.0881631493141362 -5.522965564587036e-05 2.1854219823666934e-05 0.09545601701456076 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
